country_code,year,share_of_instudents,gdp,share_education_spending_gdp,mean_income,urban_rate,population_density,gdp_log,population_density_log,share_of_instudents_original,share_education_spending_gdp_original,mean_income_original,urban_rate_original
LTU,2012,1.79247,93587899244,4.75803,8323.02,0.6686401543892391,47.72934,10.971219698835768,1.687790529249155,1.79247,4.75803,8323.02,0.6686401543892391
LTU,2013,2.45155,97375321369,4.60233,8753.36,0.6698601509489335,47.250584,10.988448903994996,1.6835025741863925,2.45155,4.60233,8753.36,0.6698601509489335
LTU,2015,3.53768,103911365964,4.22719,10459.49,0.6723000024097132,46.410667,11.016663053870058,1.675876065261622,3.53768,4.22719,10459.49,0.6723000024097132
LTU,2016,4.11113,106687794740,4.00431,11211.03,0.6736598272593805,45.825077,11.02811473826397,1.6704785002095304,4.11113,4.00431,11211.03,0.6736598272593805
LTU,2017,4.61295,111608495241,3.8122,11902.01,0.675160152213104,45.189556,11.047697252812188,1.6645437875837032,4.61295,3.8122,11902.01,0.675160152213104
LTU,2018,5.32603,117097813759,3.8929,12737.59,0.6767898975671621,44.760963,11.068548786781744,1.6604951552339504,5.32603,3.8929,12737.59,0.6767898975671621
LTU,2019,5.99188,122574890175,3.9641,14016.43,0.6785501212002132,44.64234,11.088401512801523,1.6593679018074519,5.99188,3.9641,14016.43,0.6785501212002132
LTU,2020,6.16129,122627369410,4.50859,15957.89,0.6804598400291962,44.653667,11.088587411924651,1.6594756667313166,6.16129,4.50859,15957.89,0.6804598400291962
LUX,2010,18.2093925,67474452435,5.021032,28499.140000000003,0.8854706452077411,197.09685,10.829139368886374,2.296877569740997,41.40625,5.021032,29133.17,0.8854706452077411
LUX,2012,18.2093925,69303975405,3.87816,28499.140000000003,0.892490008400101,206.23819,10.840758147272277,2.316469790542101,40.55875,3.87816,29054.68,0.892490008400101
LUX,2015,18.2093925,75043231267,3.76792,28126.85,0.9017896643984241,221.22734,10.875311525952682,2.3467974879114055,45.86717,3.76792,28126.85,0.9017896643984241
LUX,2016,18.2093925,78779026229,4.466116,28499.140000000003,0.9046002329840863,226.65373,10.896410608288923,2.3572747704146746,46.99454,4.466116,30366.74,0.9046002329840863
LUX,2017,18.2093925,79816693844,3.48646,28499.140000000003,0.9072703978964879,231.701,10.902093734540337,2.366798249610532,46.72712,3.48646,30259.95,0.9072703978964879
LUX,2018,18.2093925,80789916287,3.66211,28499.140000000003,0.9098100172711572,236.20796,10.907357158128963,2.3751292585795447,47.73534,3.66211,32251.99,0.9098100172711572
LUX,2019,18.2093925,83145627376,3.73607,28499.140000000003,0.9122307867245375,240.89166,10.919839414638234,2.383620894908309,48.64827,3.73607,32072.96,0.9122307867245375
LUX,2020,18.2093925,82389143682,3.8535,28499.140000000003,0.9145298602992613,244.94339,10.915869989012801,2.3908351549087614,48.38796,3.8535,34873.2,0.9145298602992613
MLI,2011,1.27296,36608704575,3.75423,3474.1730000000002,0.5380474794531794,13.49712,10.56358436134674,1.161281733797834,1.27296,3.75423,720.24,0.3679899792635264
MLI,2013,0.96661,37135551435,3.28465,3474.1730000000002,0.5380474794531794,14.308936,10.56978987725751,1.1849450074594359,0.96661,3.28465,860.24,0.38398000184998354
MLI,2014,0.87495,39766487861,3.64819,3474.1730000000002,0.5380474794531794,14.768411,10.599517236208316,1.1977879312045316,0.87495,3.64819,903.11,0.39196000813972404
MLI,2015,0.85628,42220795969,3.80152,3474.1730000000002,0.5380474794531794,15.237809,10.625526416610676,1.2105274286364678,0.85628,3.80152,1045.73,0.3999099769795357
MEX,2016,0.29813,2669593219099,4.75796,4611.18,0.795770003392437,62.88811,12.426445090518481,1.8054200406018257,0.29813,4.75796,4611.18,0.795770003392437
MEX,2018,0.255282,2773192728060,4.13945,4687.37,0.801560001692492,64.08278,12.4429800527098,1.813466095476771,0.15834,4.13945,4687.37,0.801560001692492
MEX,2020,0.88129,2531538944018,4.5006,4404.99,0.8073099977543996,65.22752,12.403384612758792,1.8210384924697955,0.88129,4.5006,4404.99,0.8073099977543996
NLD,2010,4.29679,1033330903023,5.48909,20467.94,0.8713399754468657,498.10608,12.014239417690893,2.698192860377777,4.29679,5.48909,20467.94,0.8713399754468657
